Title,Year
PyramidTNT: Improved Transformer-in-Transformer Baselines with Pyramid Architecture,2022
Learning to Cluster Faces via Transformer,2021
MLP Can Be A Good Transformer Learner,2024
Learning From Failure: Integrating Negative Examples when Fine-tuning Large Language Models as Agents,2024
Demystifying Instruction Mixing for Fine-tuning Large Language Models,2023
WizardLM: Empowering large pre-trained language models to follow complex instructions,2023
AR-RAG: Autoregressive Retrieval Augmentation for Image Generation,2025
Intelligent Interaction Strategies for Context-Aware Cognitive Augmentation,2025
Factually: Exploring Wearable Fact-Checking for Augmented Truth Discernment,2025
WiCV 2019: The Sixth Women In Computer Vision Workshop,2019
Spatial Monitoring and Insect Behavioural Analysis Using Computer Vision for Precision Pollination,2022
Global Adaptive Filtering Layer for Computer Vision,2020
Value Bonuses using Ensemble Errors for Exploration in Reinforcement Learning,2026
Causal-Paced Deep Reinforcement Learning,2025
Exploring Hierarchy-Aware Inverse Reinforcement Learning,2018
Erasing Undesirable Influence in Diffusion Models,2024
Well-posedness of a cross-diffusion population model with nonlocal diffusion,2019
Diffusion in LanCoIn3n+2 phases studied by perturbed angular correlation,2011
Faith in AI can narrow the futures individuals consider,2026
Foundations of GenIR,2025
Competing Visions of Ethical AI: A Case Study of OpenAI,2026
